DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,FEX_MICRO_DPTO
2120188,1,1,137.31025396392
2120189,1,1,130.273293091202
2120190,1,1,72.4591208299323
2120193,1,2,154.962477853422
2120196,1,1,21.5819261599991
2120196,1,2,21.5819261599991
2120197,1,1,23.4709074462257
2120197,1,2,23.4709074462257
2120198,1,1,19.106929223777
2120199,1,1,25.8539154591749
2120201,1,1,32.4126839651051
2120201,1,2,32.4126839651051
2120202,1,2,28.3485288960647
2120203,1,1,24.1955487046508
2120206,1,1,19.106929223777
2120206,1,2,19.106929223777
2120207,1,1,21.2777996153697
2120208,1,1,24.6574625468177
2120208,1,2,24.6574625468177
2120210,1,1,24.3179099211707
2120211,1,1,29.3865647946534
2120213,1,1,31.4214477114227
2120213,1,2,31.4214477114227
2120214,1,1,21.909805241706
2120214,1,2,21.909805241706
2120214,1,3,21.909805241706
2120215,1,2,25.0517528488588
2120215,1,3,25.0517528488588
2120215,1,5,25.0517528488588
2120217,1,1,28.8884225509972
2120218,1,1,30.7943347150101
2120219,1,8,20.7595873984396
2120221,1,2,125.204332449101
2120222,1,1,144.727981225652
2120222,1,2,144.727981225652
2120222,1,3,144.727981225652
2120224,1,5,146.281082774138
2120227,1,1,185.612474529306
2120227,1,2,185.612474529306
2120227,1,4,185.612474529306
2120231,1,1,178.271875577141
2120232,1,1,202.347905445066
2120234,1,1,199.538272431932
2120234,1,3,199.538272431932
2120235,1,1,261.861200527604
2120237,1,1,201.092960015743
2120239,1,1,130.844348586184
2120239,1,2,130.844348586184
2120239,1,3,130.844348586184
2120245,1,1,228.962031675428
2120246,1,1,236.478303904204
2120246,1,2,236.478303904204
2120247,1,1,280.977157164043
2120247,1,2,280.977157164043
2120250,1,5,165.685993854624
2120252,1,1,276.360720746427
2120253,1,2,236.478303904204
2120257,1,2,121.658207629378
2120259,1,1,134.547037022511
2120261,1,1,102.187315771223
2120262,1,1,117.405084888449
2120263,1,1,142.694823756394
2120264,1,2,
2120269,1,2,184.998365717296
2120269,1,5,184.998365717296
2120271,1,3,197.084400296892
2120272,1,1,184.454434021063
2120272,1,2,184.454434021063
2120272,1,3,184.454434021063
2120274,1,1,140.348610981277
2120274,1,2,140.348610981277
2120275,1,1,179.402733664431
2120277,1,1,
2120277,1,2,165.446116443604
2120282,1,1,129.946983982368
2120287,1,2,143.086206994071
2120289,1,2,197.335429655906
2120289,1,5,
2120290,1,3,122.18266601961
2120292,1,1,134.984199120447
2120292,1,2,134.984199120447
2120293,1,3,127.38562256289
2120295,1,1,
2120296,1,2,121.294027868787
2120297,1,1,171.372211141731
2120298,1,1,128.769564181331
2120299,1,1,139.472619069726
2120300,1,1,126.107056076535
2120301,1,2,229.490163025818
2120303,1,1,345.414834660411
2120304,1,3,186.09853077304
2120305,1,1,262.735901411516
2120306,1,3,345.771696091079
2120307,1,1,231.41456062935
2120308,1,1,231.41456062935
2120312,1,1,78.427426065632
2120313,1,1,
2120313,1,2,
2120316,1,2,80.2529307170876
2120316,2,3,80.2529307170876
2120316,3,2,80.2529307170876
2120317,1,2,79.0613681873392
2120319,1,1,93.6402411598629
2120319,1,3,
2120320,1,2,92.5181088409307
2120322,1,1,46.744682612387
2120323,1,2,
2120324,1,1,46.8996031476142
2120326,1,1,39.0800186613483
2120327,1,2,43.912117211905
2120331,,,
2120332,1,2,87.955273965485
2120334,1,2,86.4452359166858
2120335,1,2,80.3274581973649
2120336,1,2,79.1288624292504
2120336,1,4,79.1288624292504
2120338,1,2,113.423961803781
2120338,1,3,113.423961803781
2120338,1,5,113.423961803781
2120339,1,2,97.9711228078899
2120339,1,6,97.9711228078899
2120341,1,3,85.9195280869435
2120341,1,4,85.9195280869435
2120342,1,1,36.984004112878
2120342,1,4,36.984004112878
2120344,1,2,43.912117211905
2120346,1,1,25.6087823330862
2120347,1,2,29.3015696750348
2120347,1,4,29.3015696750348
2120349,1,1,28.8803307746771
2120349,1,2,
2120351,1,4,27.3511621795416
2120352,1,2,85.0562126608267
2120353,1,1,
2120355,1,1,81.5229282325518
2120355,1,5,81.5229282325518
2120357,,,
2120358,1,2,
2120362,1,1,101.719313823755
2120364,1,1,124.652430140626
2120365,1,2,198.1889547596
2120366,1,4,139.318749717918
2120366,1,8,139.318749717918
2120368,1,1,172.271539078561
2120369,1,2,230.135553313845
2120371,1,1,
2120373,1,2,217.00439822743
2120374,1,1,
2120375,1,1,11.7619916972288
2120379,1,1,13.5580650383929
2120379,1,3,13.5580650383929
2120381,1,1,13.9617344319699
2120382,1,2,16.5061451032806
2120383,1,2,12.9661189688409
2120383,1,4,12.9661189688409
2120385,1,1,
2120391,1,1,217.164947776246
2120393,1,2,124.652430140626
2120396,1,1,138.537005749951
2120396,1,2,138.537005749951
2120414,1,3,70.0669528199382
2120417,1,1,
2120418,1,1,65.8910806574567
2120419,1,1,67.7900734907
2120421,1,1,261.925383361191
2120422,1,1,223.560055586762
2120424,1,1,253.347004236866
2120425,1,1,232.983367265819
2120429,1,1,224.805808207429
2120432,1,1,217.366219705856
2120433,1,1,224.472635000589
2120433,1,2,224.472635000589
2120434,1,1,303.292457849208
2120435,1,1,247.499325486927
2120436,1,1,202.325227386686
2120437,1,2,338.281490264284
2120438,1,1,
2120439,1,2,252.168599887638
2120443,1,1,70.8952897847425
2120444,1,2,62.9173055593096
2120446,1,1,76.0859806278788
2120447,1,1,76.4254090150636
2120456,1,2,
2120458,1,1,
2120462,1,3,185.808697666095
2120465,1,1,129.325941871553
2120466,1,1,60.6705109048997
2120470,1,1,88.0104839825684
2120471,1,1,
2120472,1,1,
2120475,1,1,114.380204646144
2120476,1,1,64.9417130160781
2120477,1,1,139.282405708322
2120477,1,2,139.282405708322
2120478,1,1,111.757524837613
2120480,1,1,
2120481,1,1,74.7027946458183
2120482,1,1,88.43874630716
2120486,1,1,42.8648812854264
2120487,1,1,40.4031480032785
2120489,1,1,40.3036700345811
2120491,1,1,
2120491,1,2,
2120495,1,4,40.6496348081893
2120496,1,3,35.1348696017551
2120496,1,4,35.1348696017551
2120500,1,2,
2120501,1,2,
2120503,1,1,43.3684761288658
2120504,1,1,45.7270258904446
2120507,1,2,43.3879177794776
2120509,1,1,30.9233161646223
2120509,1,2,30.9233161646223
2120511,1,1,31.7859467389654
2120513,1,1,28.4795549924845
2120516,1,1,32.3648027866771
2120517,1,1,30.4909850730917
2120517,1,3,30.4909850730917
2120523,1,1,32.7288875417555
2120524,1,2,36.158788573457
2120524,1,3,36.158788573457
2120525,1,1,37.987500329926
2120526,1,1,52.7682437041447
2120527,1,2,30.1789698732224
2120527,1,3,30.1789698732224
2120530,1,2,30.443455024095
2120534,1,2,105.450769153246
2120537,1,2,137.617392109706
2120539,1,1,71.96440092093
2120541,1,1,88.4674531047278
2120542,1,2,118.506795378126
2120545,1,2,32.0280158609073
2120549,1,1,31.7859467389654
2120550,1,1,
