DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3050,P3051,P639,P3052,CLASE_TE,COD_DEPTO,AREA,F_EXP
2120549,1,1,1,2,2,1,1,44,"",64.3163223058155
2120551,1,1,1,3,5,1,1,44,"",49.0884859483191
2120551,1,2,1,1,5,3,1,44,"",49.0884859483191
2120564,1,1,1,1,5,1,1,44,"",47.8985230648197
2120565,1,1,1,4,5,1,1,44,"",50.5325491688563
2120565,1,2,1,2,5,1,1,44,"",50.5325491688563
2120569,1,1,1,2,2,1,1,44,"",44.8478128330339
2120578,1,1,1,3,5,1,1,44,"",59.6963825491963
2120580,1,1,1,1,4,2,1,44,"",65.666020804116
2120587,1,1,1,1,4,6,1,44,"",51.0265141242799
2120587,1,2,1,2,5,6,1,44,"",51.0265141242799
2120592,1,2,1,5,5,1,1,44,"",57.3762789935894
2120593,1,1,1,3,5,1,1,44,"",61.6554543215393
2120596,1,1,1,3,5,1,1,44,"",69.3191097213363
2120598,1,1,2,3,4,6,1,44,"",67.3599408120585
2120602,1,1,1,3,5,4,1,44,"",71.6022750391213
2120602,1,2,1,3,5,4,1,44,"",71.6022750391213
2120603,1,1,1,3,5,1,1,44,"",58.9468451242555
2120603,1,2,1,3,5,2,1,44,"",58.9468451242555
2120607,1,1,1,3,3,1,1,44,"",75.4875791375249
2120609,1,1,1,3,5,1,1,44,"",76.2900239596119
2120610,1,1,1,3,5,4,1,44,"",54.2712401049181
2120610,1,2,1,1,2,1,1,44,"",54.2712401049181
2120611,1,1,1,3,5,1,1,44,"",65.6292254924969
2120612,1,1,1,1,2,1,1,44,"",63.9276757346895
2120612,1,2,1,3,5,1,1,44,"",63.9276757346895
2120614,1,1,1,2,4,1,1,44,"",71.6203033886295
2120615,1,1,1,2,5,1,1,44,"",52.8419459611578
2120616,1,1,3,2,4,2,1,44,"",60.3829553966047
2120616,1,2,1,2,1,1,1,44,"",60.3829553966047
2120617,1,2,1,2,5,1,1,44,"",60.3829553966047
2120618,1,2,1,2,3,1,1,44,"",65.3473801353856
2120624,1,2,1,2,5,6,1,44,"",67.7560576953478
2120638,1,1,1,2,5,1,2,44,"",62.3563253510245
2120638,1,2,1,3,5,1,2,44,"",62.3563253510245
2120638,1,3,1,3,1,1,2,44,"",62.3563253510245
2120639,1,1,1,1,3,6,2,44,"",77.0706400961547
2120639,1,2,1,3,2,6,2,44,"",77.0706400961547
2120641,1,1,1,5,5,1,2,44,"",92.9994558820743
2120641,1,2,1,3,4,2,2,44,"",92.9994558820743
2120642,1,1,1,2,3,2,2,44,"",106.097741421007
2120642,1,2,1,1,2,1,2,44,"",106.097741421007
2120643,1,1,1,2,5,1,2,44,"",86.9762969822197
2120645,1,3,1,3,4,1,2,44,"",84.8183497170825
2120645,1,4,1,3,2,2,2,44,"",84.8183497170825
2120645,1,5,1,3,2,2,2,44,"",84.8183497170825
2120646,1,2,1,3,5,1,2,44,"",82.5306876292254
2120647,1,1,1,3,4,1,2,44,"",66.6619709482404
2120648,1,1,1,3,5,1,2,44,"",73.8119802554048
2120649,1,1,1,3,5,1,2,44,"",86.9364464503141
2120650,1,1,1,3,5,2,2,44,"",77.110115696459
2120651,1,1,1,3,4,1,2,44,"",91.5516271209139
2120652,1,1,1,3,4,2,2,44,"",78.246891971782
2120654,1,1,2,3,5,1,2,44,"",92.7744311165425
2120655,1,1,1,3,5,6,2,44,"",86.5585747237941
2120656,1,1,1,3,4,1,2,44,"",77.1732248877122
2120657,1,1,1,3,5,1,2,44,"",91.7366902272082
2120658,1,1,1,1,5,6,2,44,"",110.484764848739
2120658,1,2,1,1,2,6,2,44,"",110.484764848739
2120659,1,1,1,2,3,1,2,44,"",91.0668551307485
2120659,1,2,1,2,3,1,2,44,"",91.0668551307485
2120661,1,1,1,2,4,1,2,44,"",86.9762969822197
2120662,1,1,1,3,5,2,2,44,"",78.7393299451989
2120663,1,2,1,2,5,1,2,44,"",82.5306876292254
2120664,1,1,1,2,5,1,2,44,"",60.6409841542018
2120669,1,1,1,2,5,1,1,44,"",78.1470362924146
2120670,1,1,1,1,4,6,1,44,"",77.3119669160064
2120670,1,2,1,1,3,6,1,44,"",77.3119669160064
2120678,1,1,1,2,5,1,1,44,"",56.8797615360356
2120686,1,1,1,2,5,1,1,44,"",65.6564343603479
2120686,1,2,1,5,5,1,1,44,"",65.6564343603479
2120694,1,1,1,1,5,1,1,44,"",23.3851796876933
2120700,1,1,1,2,4,2,1,44,"",20.7304617259061
2120701,1,1,1,3,5,1,2,44,"",155.499788896826
2120701,1,2,1,3,4,1,2,44,"",155.499788896826
2120702,1,1,1,3,5,2,2,44,"",143.886347026707
2120704,1,1,1,3,5,6,2,44,"",151.326226599072
2120706,1,1,1,2,5,2,2,44,"",191.271135154012
2120706,1,2,1,3,5,1,2,44,"",191.271135154012
2120707,1,1,1,3,5,1,2,44,"",147.565235957363
2120709,1,1,1,3,2,6,2,44,"",189.902306066529
2120709,1,2,1,1,3,6,2,44,"",189.902306066529
2120711,1,1,1,3,2,6,2,44,"",194.887563044849
2120712,1,1,1,3,5,1,2,44,"",180.267538109354
2120712,1,2,1,3,5,1,2,44,"",180.267538109354
2120714,1,1,1,3,4,1,2,44,"",184.931062498652
2120714,1,3,1,3,2,1,2,44,"",184.931062498652
2120717,1,1,1,3,4,1,2,44,"",145.649023084238
2120718,1,1,1,3,5,1,2,44,"",156.25592108339
2120719,1,1,1,3,5,1,2,44,"",154.484250868839
2120720,1,1,1,3,5,2,2,44,"",172.477527828465
2120721,1,1,1,3,5,1,2,44,"",143.411077622091
2120722,1,1,1,3,5,6,2,44,"",141.761034843986
2120722,1,2,1,3,5,6,2,44,"",141.761034843986
2120722,1,3,1,3,2,6,2,44,"",141.761034843986
2120724,1,1,1,3,5,1,2,44,"",143.886347026707
2120724,1,2,1,3,5,1,2,44,"",143.886347026707
2120726,1,1,1,3,5,2,2,44,"",161.157588449178
2120727,1,2,1,3,5,1,2,44,"",147.831406052383
2120729,1,1,1,3,5,2,2,44,"",172.477527828465
2120731,1,2,1,3,5,1,2,44,"",153.83034215624
2120732,1,1,1,3,4,2,2,44,"",172.674121721395
2120732,1,2,1,5,4,1,2,44,"",172.674121721395
2120734,1,1,1,3,5,6,2,44,"",135.724431917187
2120739,1,1,1,3,5,1,2,44,"",184.155526349606
2120740,1,1,1,3,5,6,2,44,"",151.914129283115
2120740,1,2,1,3,4,6,2,44,"",151.914129283115
2120742,1,2,1,1,3,1,1,44,"",22.9099100660204
2120742,1,3,1,1,2,1,1,44,"",22.9099100660204
2120743,1,2,1,5,4,1,1,44,"",24.6005262908724
2120754,1,1,1,2,5,1,1,47,"",66.29828720857
2120755,1,1,5,3,5,,1,47,"",88.2841856108495
2120755,1,2,1,2,2,1,1,47,"",88.2841856108495
2120756,1,1,1,1,5,6,1,47,"",67.5548718933756
2120758,1,1,1,2,1,1,1,47,"",97.3687607705445
2120758,1,2,1,1,2,1,1,47,"",97.3687607705445
2120762,1,2,1,1,2,4,1,47,"",94.6374062558607
2120763,1,1,2,2,3,1,1,47,"",103.74295147171
2120776,1,1,1,1,4,1,2,47,"",84.7560434210126
2120786,1,1,1,1,5,3,2,47,"",89.6368046870832
2120788,1,1,5,3,3,,2,47,"",116.198927248182
2120795,1,1,1,3,5,6,2,47,"",102.221845983481
2120795,1,5,1,4,1,6,2,47,"",102.221845983481
2120799,1,1,1,3,5,1,2,47,"",108.823967118161
2120801,1,1,5,3,5,,2,47,"",90.4423337385413
2120807,1,1,1,4,5,1,1,47,"",79.1642750193281
2120809,1,1,1,2,5,1,1,47,"",84.7489867593339
2120812,1,1,1,2,5,3,1,47,"",63.8910656507404
2120812,1,2,2,2,5,2,1,47,"",63.8910656507404
2120819,1,1,1,2,5,3,1,47,"",72.5712294875312
2120820,1,2,1,4,5,1,1,47,"",59.7405815602469
2120827,1,1,1,2,3,1,1,47,"",80.3924172641201
2120830,1,1,1,2,3,6,2,47,"",102.472973844674
2120832,1,1,1,2,5,3,2,47,"",91.1854650011871
2120834,1,1,1,3,5,2,2,47,"",61.6612525970327
2120835,1,1,1,5,4,1,2,47,"",63.5675535434622
2120836,1,1,1,1,5,2,2,47,"",86.2564182194268
2120837,1,1,1,2,4,6,2,47,"",90.9237449051009
2120838,1,1,2,1,5,1,2,47,"",64.5351124754044
2120842,1,1,1,1,3,4,1,47,"",59.3142397929658
2120843,1,2,2,2,4,3,1,47,"",61.2391525391364
2120853,1,1,2,2,2,1,1,47,"",58.8762005055538
2120860,1,1,1,2,5,1,2,47,"",49.6713951061328
2120864,1,2,1,1,5,1,2,47,"",53.241289235557
2120868,1,1,1,1,4,1,2,47,"",80.031403232532
2120874,1,1,2,2,4,1,2,47,"",58.0052486226971
2120875,1,1,1,2,3,3,2,47,"",72.0586207252628
2120879,1,1,2,2,4,1,2,47,"",53.8315511545806
2120884,1,1,1,4,5,1,2,47,"",84.235212917299
2120890,1,2,1,1,4,1,1,47,"",75.8344287113912
2120891,1,1,1,3,5,1,1,47,"",88.9887902009753
2120891,1,2,1,1,4,4,1,47,"",88.9887902009753
2120893,1,1,1,2,5,1,1,47,"",83.0174200894734
2120893,1,2,1,2,4,6,1,47,"",83.0174200894734
2120894,1,2,1,2,2,4,1,47,"",84.6044049834578
2120897,1,1,2,2,1,6,1,47,"",60.3810614421583
2120898,1,2,1,1,3,1,1,47,"",58.0017766525004
2120900,1,1,2,1,1,1,1,47,"",37.0303576205364
2120900,1,3,1,1,4,1,1,47,"",37.0303576205364
2120901,2,1,1,6,5,1,1,47,"",48.5265019130672
2120903,2,1,2,2,5,1,1,47,"",73.6510738805886
2120905,1,1,1,5,3,1,1,47,"",63.5634215721252
2120905,1,2,1,2,3,6,1,47,"",63.5634215721252
2120906,1,2,1,5,5,1,1,47,"",44.6576459867509
2120907,1,1,1,2,5,2,1,47,"",41.7727169150975
2120907,1,2,1,2,4,6,1,47,"",41.7727169150975
2120908,1,4,3,2,5,1,1,47,"",25.8125199727691
2120909,1,2,1,4,3,6,1,47,"",47.418316574161
2120909,1,3,1,4,3,1,1,47,"",47.418316574161
2120912,1,1,1,2,3,2,1,47,"",73.5112916713713
2120912,1,2,2,2,2,6,1,47,"",73.5112916713713
2120913,1,1,1,1,5,1,1,47,"",69.1647586718498
2120913,1,2,1,4,4,1,1,47,"",69.1647586718498
2120914,1,1,1,2,1,4,1,47,"",70.0002044999957
2120915,1,1,1,5,4,1,1,47,"",74.2533875471253
2120917,1,1,1,1,2,1,1,47,"",70.0002044999957
2120921,1,1,1,1,2,1,1,47,"",67.3347139840334
2120922,1,1,1,1,4,3,1,47,"",70.97194359592
2120926,1,1,1,1,4,1,1,47,"",54.4747252760318
2120926,1,7,3,1,4,1,1,47,"",54.4747252760318
2120926,1,10,1,5,3,1,1,47,"",54.4747252760318
2120932,1,1,1,5,5,1,1,47,"",75.9843859344356
2120932,1,4,1,5,5,1,1,47,"",75.9843859344356
2120933,1,1,1,6,5,1,1,47,"",46.5085017908772
2120933,1,7,1,1,5,6,1,47,"",46.5085017908772
2120934,1,3,1,1,4,1,1,47,"",51.9971948908333
2120935,1,1,1,2,3,4,1,47,"",73.8578713154233
2120936,1,1,1,2,2,1,1,47,"",97.4879316078754
2120937,1,2,1,3,5,1,1,47,"",71.209222377903
2120938,1,2,1,4,5,1,1,47,"",36.7175582163769
2120938,1,5,1,1,1,4,1,47,"",36.7175582163769
2120939,1,3,1,2,2,1,1,47,"",74.4394399495588
2120939,1,4,1,5,5,1,1,47,"",74.4394399495588
